"Filter","ModelType","Variable","Estimate","StdError","pValue"
"R2_0.85_Logistic_5","num_tech","easier_scitech_Average",NA,NA,NA
"R2_0.85_Logistic_5","num_tech","FirstCommercialYr",0.00508534224701954,0.000253144215495092,3.52698771733545e-83
"R2_0.85_Logistic_5","num_tech","log_Average.lifetime",-0.0560721038597528,0.00831744247389847,1.99818664847931e-11
"R2_0.85_Logistic_5","num_tech","Log_GDPavg",NA,NA,NA
"R2_0.85_Logistic_5","num_tech","log_Granularity.Numerical",-0.0232111390522769,0.00247628403154403,1.85806788199331e-20
"R2_0.85_Logistic_5","num_tech","log_Material.Use.Numerical",-0.0473876697407149,0.00341155078508813,3.38885081859166e-42
"R2_0.85_Logistic_5","num_tech","rdspending_Average",NA,NA,NA
"R2_0.85_Logistic_5","gov","(Intercept)",0.0564107317753288,0.222008314943287,0.799507913742542
"R2_0.85_Logistic_5","gov","(Intercept)",-0.0396295160284905,0.250167457185167,0.874183693185178
"R2_0.85_Logistic_5","gov","(Intercept)",0.403937135883916,0.0150261005266806,2.64274893699983e-139
"R2_0.85_Logistic_5","gov","(Intercept)",0.504570863453349,0.027799737426519,1.84304170920793e-65
"R2_0.85_Logistic_5","gov","(Intercept)",0.0937657290035215,0.104071585123713,0.367687516785221
"R2_0.85_Logistic_5","gov","(Intercept)",0.476548050888318,0.0204040641812338,3.52557906463795e-109
"R2_0.85_Logistic_5","gov","Capacity_Average",0.00269003402279176,0.0144643851124274,0.852479064410832
"R2_0.85_Logistic_5","gov","demNot Democracy",-0.14126362268327,0.0262866719262995,8.42325805110295e-08
"R2_0.85_Logistic_5","gov","direction_scitech_Average",0.0474959249612369,0.0327465388193365,0.147448954288345
"R2_0.85_Logistic_5","gov","easier_scitech_Average",0.058655089493939,0.0350969229214436,0.0951797338816793
"R2_0.85_Logistic_5","gov","FirstCommercialYr",NA,NA,NA
"R2_0.85_Logistic_5","gov","log_Average.lifetime",NA,NA,NA
"R2_0.85_Logistic_5","gov","Log_GDPavg",0.0340514231183345,0.0117651877621211,0.0038328881261765
"R2_0.85_Logistic_5","gov","log_Granularity.Numerical",NA,NA,NA
"R2_0.85_Logistic_5","gov","log_Material.Use.Numerical",NA,NA,NA
"R2_0.85_Logistic_5","gov","rdspending_Average",-0.0682075965443726,0.0218923718298507,0.00187798911628918
"R2_0.85_Logistic_5","dunn_test",NA,NA,NA,NA
"R2_0.9_Logistic_1","num_tech","(Intercept)",0.344161177388958,0.00999971161803514,3.48197359437337e-192
"R2_0.9_Logistic_1","num_tech","(Intercept)",0.175612742126613,0.00648739256191736,4.41045116371689e-135
"R2_0.9_Logistic_1","num_tech","(Intercept)",0.323190736237631,0.00825921415642449,3.58189557906073e-238
"R2_0.9_Logistic_1","num_tech","(Intercept)",-3.78092116134862,0.163079963966594,8.65911533517598e-105
"R2_0.9_Logistic_1","num_tech","Capacity_Average",NA,NA,NA
"R2_0.9_Logistic_1","num_tech","demNot Democracy",NA,NA,NA
"R2_0.9_Logistic_1","num_tech","direction_scitech_Average",NA,NA,NA
"R2_0.9_Logistic_1","num_tech","easier_scitech_Average",NA,NA,NA
"R2_0.9_Logistic_1","num_tech","FirstCommercialYr",0.0021098796145939,8.56749854382342e-05,2.7471146304381e-116
"R2_0.9_Logistic_1","num_tech","log_Average.lifetime",-0.0318920562247058,0.0030246995929359,3.30023866230488e-25
"R2_0.9_Logistic_1","num_tech","Log_GDPavg",NA,NA,NA
"R2_0.9_Logistic_1","num_tech","log_Granularity.Numerical",-0.0101787039951892,0.000864599406048455,1.12563803398948e-30
"R2_0.9_Logistic_1","num_tech","log_Material.Use.Numerical",-0.0172974291092658,0.00129813392861485,1.18810158121985e-38
"R2_0.9_Logistic_1","num_tech","rdspending_Average",NA,NA,NA
"R2_0.9_Logistic_1","gov","(Intercept)",0.175440303633863,0.0802598978910701,0.029279402649191
"R2_0.9_Logistic_1","gov","(Intercept)",0.248503636175186,0.0873049792939261,0.00460102286245926
"R2_0.9_Logistic_1","gov","(Intercept)",0.226755234432522,0.00519437530180474,3.34393316198435e-289
"R2_0.9_Logistic_1","gov","(Intercept)",0.251042570019863,0.0100468483061936,1.59181101292924e-107
"R2_0.9_Logistic_1","gov","(Intercept)",-0.0287756354084635,0.0350665301110072,0.411968846292804
"R2_0.9_Logistic_1","gov","(Intercept)",0.268218511437083,0.00705386195682314,2.30711916637575e-238
"R2_0.9_Logistic_1","gov","Capacity_Average",0.0232177648199804,0.00490479253117147,2.36711553107447e-06
"R2_0.9_Logistic_1","gov","demNot Democracy",-0.0607292747771825,0.00900182077587997,1.98059934828807e-11
"R2_0.9_Logistic_1","gov","direction_scitech_Average",0.00804754920358534,0.0118203858703857,0.496296516607145
"R2_0.9_Logistic_1","gov","easier_scitech_Average",-0.00265763295690187,0.0122921876023776,0.828914881799153
"R2_0.9_Logistic_1","gov","FirstCommercialYr",NA,NA,NA
"R2_0.9_Logistic_1","gov","log_Average.lifetime",NA,NA,NA
"R2_0.9_Logistic_1","gov","Log_GDPavg",0.0295861952243836,0.00396447514342857,1.24412662413959e-13
"R2_0.9_Logistic_1","gov","log_Granularity.Numerical",NA,NA,NA
"R2_0.9_Logistic_1","gov","log_Material.Use.Numerical",NA,NA,NA
"R2_0.9_Logistic_1","gov","rdspending_Average",0.0122329069415376,0.00766837191824595,0.110973211662806
"R2_0.9_Logistic_1","dunn_test",NA,NA,NA,NA
"R2_0.9_Logistic_2","num_tech","(Intercept)",0.487360986302033,0.0158227993054143,1.86563486461931e-164
"R2_0.9_Logistic_2","num_tech","(Intercept)",0.207772912898801,0.0106279798821608,1.40389158443725e-77
"R2_0.9_Logistic_2","num_tech","(Intercept)",0.425702632202806,0.0130645869509366,2.6792078463734e-183
"R2_0.9_Logistic_2","num_tech","(Intercept)",-6.07292398106674,0.257980514556247,2.29703245408491e-108
"R2_0.9_Logistic_2","num_tech","Capacity_Average",NA,NA,NA
"R2_0.9_Logistic_2","num_tech","demNot Democracy",NA,NA,NA
"R2_0.9_Logistic_2","num_tech","direction_scitech_Average",NA,NA,NA
"R2_0.9_Logistic_2","num_tech","easier_scitech_Average",NA,NA,NA
"R2_0.9_Logistic_2","num_tech","FirstCommercialYr",0.00334505330787265,0.000135295011256177,5.43093784413715e-118
"R2_0.9_Logistic_2","num_tech","log_Average.lifetime",-0.0447367363882712,0.00482353038690357,4.95854918615807e-20
"R2_0.9_Logistic_2","num_tech","Log_GDPavg",NA,NA,NA
"R2_0.9_Logistic_2","num_tech","log_Granularity.Numerical",-0.0173490381546067,0.00139629854126901,6.31261506978656e-34
"R2_0.9_Logistic_2","num_tech","log_Material.Use.Numerical",-0.0277972956000383,0.00205541665051013,7.94688152887959e-40
"R2_0.9_Logistic_2","num_tech","rdspending_Average",NA,NA,NA
"R2_0.9_Logistic_2","gov","(Intercept)",0.229887563427978,0.118096649220121,0.0521051058890927
"R2_0.9_Logistic_2","gov","(Intercept)",0.263629171300307,0.130205201812048,0.04339224834185
"R2_0.9_Logistic_2","gov","(Intercept)",0.289475725901768,0.00838045513591703,6.46032187043062e-206
"R2_0.9_Logistic_2","gov","(Intercept)",0.342531853642523,0.0157269138599395,1.89459737912526e-87
"R2_0.9_Logistic_2","gov","(Intercept)",-0.0809933001338053,0.05528149700866,0.143037168497451
"R2_0.9_Logistic_2","gov","(Intercept)",0.343868176872395,0.0112896525359309,3.5545227558354e-169
"R2_0.9_Logistic_2","gov","Capacity_Average",0.0259716452190273,0.00792856073379937,0.00107178487989744
"R2_0.9_Logistic_2","gov","demNot Democracy",-0.0844689638175416,0.0144836423077125,6.32176400463299e-09
"R2_0.9_Logistic_2","gov","direction_scitech_Average",0.00804981907969304,0.017392877644794,0.643679628940013
"R2_0.9_Logistic_2","gov","easier_scitech_Average",0.002908941747852,0.0183216123942894,0.873909168008231
"R2_0.9_Logistic_2","gov","FirstCommercialYr",NA,NA,NA
"R2_0.9_Logistic_2","gov","log_Average.lifetime",NA,NA,NA
"R2_0.9_Logistic_2","gov","Log_GDPavg",0.0420279524883846,0.00623784714534016,2.05826015002988e-11
"R2_0.9_Logistic_2","gov","log_Granularity.Numerical",NA,NA,NA
"R2_0.9_Logistic_2","gov","log_Material.Use.Numerical",NA,NA,NA
"R2_0.9_Logistic_2","gov","rdspending_Average",-0.00432270858484648,0.0121807604913802,0.722748888928539
"R2_0.9_Logistic_2","dunn_test",NA,NA,NA,NA
"R2_0.9_Logistic_5","num_tech","(Intercept)",0.670241720652524,0.0311209953039861,3.41452619753146e-91
"R2_0.9_Logistic_5","num_tech","(Intercept)",0.253361448185737,0.0205739642190242,1.29086566403272e-33
"R2_0.9_Logistic_5","num_tech","(Intercept)",0.582026536535955,0.0253529556612098,5.14052502490237e-103
"R2_0.9_Logistic_5","num_tech","(Intercept)",-9.40854045633335,0.513240951031608,1.02246697538603e-69
"R2_0.9_Logistic_5","num_tech","Capacity_Average",NA,NA,NA
"R2_0.9_Logistic_5","num_tech","demNot Democracy",NA,NA,NA
"R2_0.9_Logistic_5","num_tech","direction_scitech_Average",NA,NA,NA
"R2_0.9_Logistic_5","num_tech","easier_scitech_Average",NA,NA,NA
"R2_0.9_Logistic_5","num_tech","FirstCommercialYr",0.00515029677443393,0.0002688803620886,1.81912563058906e-75
"R2_0.9_Logistic_5","num_tech","log_Average.lifetime",-0.0577721167405899,0.00940382238391099,9.82931160215862e-10
"R2_0.9_Logistic_5","num_tech","Log_GDPavg",NA,NA,NA
"R2_0.9_Logistic_5","num_tech","log_Granularity.Numerical",-0.0228486342184399,0.0027637170111612,2.72172762321552e-16
"R2_0.9_Logistic_5","num_tech","log_Material.Use.Numerical",-0.0471449712568759,0.00386321397534953,4.61010699906179e-33
"R2_0.9_Logistic_5","num_tech","rdspending_Average",NA,NA,NA
"R2_0.9_Logistic_5","gov","(Intercept)",0.0462191095982193,0.234342051019522,0.843720081773583
"R2_0.9_Logistic_5","gov","(Intercept)",-0.0978833341313049,0.25994926020405,0.706653046319295
"R2_0.9_Logistic_5","gov","(Intercept)",0.40252490290135,0.0160292473850655,6.55137990724573e-122
"R2_0.9_Logistic_5","gov","(Intercept)",0.509446822544709,0.0288063141036787,6.45560639144094e-62
"R2_0.9_Logistic_5","gov","(Intercept)",0.0478517755679936,0.108902121778507,0.660412854113934
"R2_0.9_Logistic_5","gov","(Intercept)",0.479792845423195,0.0213954347766451,2.06774422334946e-100
"R2_0.9_Logistic_5","gov","Capacity_Average",0.0078264420052514,0.015301847289558,0.609075480727186
"R2_0.9_Logistic_5","gov","demNot Democracy",-0.145257323410605,0.0275919650540331,1.54345075054551e-07
"R2_0.9_Logistic_5","gov","direction_scitech_Average",0.0512122943670997,0.0344892136956,0.138141690318881
"R2_0.9_Logistic_5","gov","easier_scitech_Average",0.0691954150806849,0.0365296316490539,0.0587126545404494
"R2_0.9_Logistic_5","gov","FirstCommercialYr",NA,NA,NA
"R2_0.9_Logistic_5","gov","log_Average.lifetime",NA,NA,NA
"R2_0.9_Logistic_5","gov","Log_GDPavg",0.0388888282085432,0.0122889759972986,0.00157416407822835
"R2_0.9_Logistic_5","gov","log_Granularity.Numerical",NA,NA,NA
"R2_0.9_Logistic_5","gov","log_Material.Use.Numerical",NA,NA,NA
"R2_0.9_Logistic_5","gov","rdspending_Average",-0.0684268173844268,0.0226029362696413,0.00252355752233121
"R2_0.9_Logistic_5","dunn_test",NA,NA,NA,NA
"R2_0.95_Logistic_1","num_tech","(Intercept)",0.33521642133955,0.0121944942336199,1.12217502410251e-128
"R2_0.95_Logistic_1","num_tech","(Intercept)",0.175964326466129,0.00805697696357172,4.5991717441918e-90
"R2_0.95_Logistic_1","num_tech","(Intercept)",0.341464506942998,0.0118124858572749,7.78267572339414e-141
"R2_0.95_Logistic_1","num_tech","(Intercept)",-4.08576135188394,0.187731164972392,7.75530342654212e-91
"R2_0.95_Logistic_1","num_tech","Capacity_Average",NA,NA,NA
"R2_0.95_Logistic_1","num_tech","demNot Democracy",NA,NA,NA
"R2_0.95_Logistic_1","num_tech","direction_scitech_Average",NA,NA,NA
"R2_0.95_Logistic_1","num_tech","easier_scitech_Average",NA,NA,NA
"R2_0.95_Logistic_1","num_tech","FirstCommercialYr",0.00226874087760739,9.87531540134369e-05,1.53638716337451e-99
"R2_0.95_Logistic_1","num_tech","log_Average.lifetime",-0.0388642100167598,0.00431314374911829,7.57146498578334e-19
"R2_0.95_Logistic_1","num_tech","Log_GDPavg",NA,NA,NA
"R2_0.95_Logistic_1","num_tech","log_Granularity.Numerical",-0.0101847605414716,0.00107030237369263,9.94975570589305e-21
"R2_0.95_Logistic_1","num_tech","log_Material.Use.Numerical",-0.0169124788028693,0.0017644148673641,4.64268594139643e-21
"R2_0.95_Logistic_1","num_tech","rdspending_Average",NA,NA,NA
"R2_0.95_Logistic_1","gov","(Intercept)",0.182113381897955,0.0916840253418259,0.0476907582330363
"R2_0.95_Logistic_1","gov","(Intercept)",0.274063929626841,0.0988027168649241,0.00580315963370055
"R2_0.95_Logistic_1","gov","(Intercept)",0.221892103027012,0.00597394598974391,2.18597101494145e-213
"R2_0.95_Logistic_1","gov","(Intercept)",0.263995421317753,0.0115424735453711,2.59324374818231e-89
"R2_0.95_Logistic_1","gov","(Intercept)",-0.0935891845869711,0.0395507360943759,0.018085837409615
"R2_0.95_Logistic_1","gov","(Intercept)",0.277275256049436,0.00792215208552443,6.3280016861865e-198
"R2_0.95_Logistic_1","gov","Capacity_Average",0.0307363565089443,0.00550248438741834,2.76699875687983e-08
"R2_0.95_Logistic_1","gov","demNot Democracy",-0.0746325387992542,0.010170415349659,3.4894519647434e-13
"R2_0.95_Logistic_1","gov","direction_scitech_Average",0.00974782579800759,0.013548121949821,0.472261628018946
"R2_0.95_Logistic_1","gov","easier_scitech_Average",-0.00375674619984072,0.0139670378230915,0.788091793261892
"R2_0.95_Logistic_1","gov","FirstCommercialYr",NA,NA,NA
"R2_0.95_Logistic_1","gov","log_Average.lifetime",NA,NA,NA
"R2_0.95_Logistic_1","gov","Log_GDPavg",0.036892947457985,0.00446229403666167,2.84835210062346e-16
"R2_0.95_Logistic_1","gov","log_Granularity.Numerical",NA,NA,NA
"R2_0.95_Logistic_1","gov","log_Material.Use.Numerical",NA,NA,NA
"R2_0.95_Logistic_1","gov","rdspending_Average",0.012769732564299,0.00847699149271785,0.132362969335806
"R2_0.95_Logistic_1","dunn_test",NA,NA,NA,NA
"R2_0.95_Logistic_2","num_tech","(Intercept)",0.494248549343766,0.0194918682058997,6.48445095476092e-115
"R2_0.95_Logistic_2","num_tech","(Intercept)",0.206732156521156,0.0132132892762613,7.02574994729984e-51
"R2_0.95_Logistic_2","num_tech","(Intercept)",0.460364594127892,0.0186372219667319,2.96279455187963e-111
"R2_0.95_Logistic_2","num_tech","(Intercept)",-6.64510478242034,0.296642316338929,3.2235911730412e-96
"R2_0.95_Logistic_2","num_tech","Capacity_Average",NA,NA,NA
"R2_0.95_Logistic_2","num_tech","demNot Democracy",NA,NA,NA
"R2_0.95_Logistic_2","num_tech","direction_scitech_Average",NA,NA,NA
"R2_0.95_Logistic_2","num_tech","easier_scitech_Average",NA,NA,NA
"R2_0.95_Logistic_2","num_tech","FirstCommercialYr",0.00364613641106257,0.00015574304594793,1.07960967425557e-103
"R2_0.95_Logistic_2","num_tech","log_Average.lifetime",-0.0560310510704597,0.00684502197652686,6.2601327495647e-16
"R2_0.95_Logistic_2","num_tech","Log_GDPavg",NA,NA,NA
"R2_0.95_Logistic_2","num_tech","log_Granularity.Numerical",-0.0185465307264712,0.00174464560490058,2.46094786158962e-25
"R2_0.95_Logistic_2","num_tech","log_Material.Use.Numerical",-0.0297317501013518,0.00278022455895114,1.09150845657765e-25
"R2_0.95_Logistic_2","num_tech","rdspending_Average",NA,NA,NA
"R2_0.95_Logistic_2","gov","(Intercept)",0.239078684864848,0.137872375484745,0.0836415727118428
"R2_0.95_Logistic_2","gov","(Intercept)",0.291165197135769,0.150913038423057,0.0543598196358256
"R2_0.95_Logistic_2","gov","(Intercept)",0.286092926271483,0.00974567623028752,3.64167029821557e-151
"R2_0.95_Logistic_2","gov","(Intercept)",0.355324076205752,0.0178136839693959,5.55193598478579e-73
"R2_0.95_Logistic_2","gov","(Intercept)",-0.159209304360077,0.0624212365843195,0.010842993623354
"R2_0.95_Logistic_2","gov","(Intercept)",0.351788122263976,0.0127523636890159,8.34051343134754e-138
"R2_0.95_Logistic_2","gov","Capacity_Average",0.0337015453974588,0.00899591478520865,0.000185986929622464
"R2_0.95_Logistic_2","gov","demNot Democracy",-0.0946772407443513,0.0164531583953426,1.03686807086519e-08
"R2_0.95_Logistic_2","gov","direction_scitech_Average",0.0107472505902079,0.0203724018022139,0.598097421888019
"R2_0.95_Logistic_2","gov","easier_scitech_Average",0.00286404613054265,0.0213182201557081,0.893192276492669
"R2_0.95_Logistic_2","gov","FirstCommercialYr",NA,NA,NA
"R2_0.95_Logistic_2","gov","log_Average.lifetime",NA,NA,NA
"R2_0.95_Logistic_2","gov","Log_GDPavg",0.0509100807286027,0.00702678015480704,6.55577676450419e-13
"R2_0.95_Logistic_2","gov","log_Granularity.Numerical",NA,NA,NA
"R2_0.95_Logistic_2","gov","log_Material.Use.Numerical",NA,NA,NA
"R2_0.95_Logistic_2","gov","rdspending_Average",-0.00197407665105646,0.0132654018836549,0.881735545787417
"R2_0.95_Logistic_2","dunn_test",NA,NA,NA,NA
"R2_0.95_Logistic_5","num_tech","(Intercept)",0.662874887594376,0.0384674415584303,3.67194903733061e-60
"R2_0.95_Logistic_5","num_tech","(Intercept)",0.252151422225065,0.0255965423177882,3.40737114398519e-22
"R2_0.95_Logistic_5","num_tech","(Intercept)",0.635281684184538,0.0357627556459733,8.21738060463122e-64
"R2_0.95_Logistic_5","num_tech","(Intercept)",-9.75848630123488,0.609867449925949,1.65540486352451e-53
"R2_0.95_Logistic_5","num_tech","Capacity_Average",NA,NA,NA
"R2_0.95_Logistic_5","num_tech","demNot Democracy",NA,NA,NA
"R2_0.95_Logistic_5","num_tech","direction_scitech_Average",NA,NA,NA
"R2_0.95_Logistic_5","num_tech","easier_scitech_Average",NA,NA,NA
"R2_0.95_Logistic_5","num_tech","FirstCommercialYr",0.00533563787311757,0.000319906286032144,1.23638194231456e-57
"R2_0.95_Logistic_5","num_tech","log_Average.lifetime",-0.0768228293119572,0.0131692291622197,6.73466194550286e-09
"R2_0.95_Logistic_5","num_tech","Log_GDPavg",NA,NA,NA
"R2_0.95_Logistic_5","num_tech","log_Granularity.Numerical",-0.0228542322634296,0.00345646746716712,5.4963643641291e-11
"R2_0.95_Logistic_5","num_tech","log_Material.Use.Numerical",-0.0499932984229375,0.00523397255679281,5.34084051002583e-21
"R2_0.95_Logistic_5","num_tech","rdspending_Average",NA,NA,NA
"R2_0.95_Logistic_5","gov","(Intercept)",0.110064532055881,0.273344498855807,0.687395345145777
"R2_0.95_Logistic_5","gov","(Intercept)",-0.0636031624110594,0.300756505340693,0.832613011740315
"R2_0.95_Logistic_5","gov","(Intercept)",0.394997890803226,0.0186268245811686,3.03425607388133e-88
"R2_0.95_Logistic_5","gov","(Intercept)",0.528621459176072,0.0331201299976323,1.29213883318787e-50
"R2_0.95_Logistic_5","gov","(Intercept)",-0.00637630332332703,0.123940609414682,0.958975690611362
"R2_0.95_Logistic_5","gov","(Intercept)",0.489139531105376,0.0240801759633528,3.0699695919603e-82
"R2_0.95_Logistic_5","gov","Capacity_Average",0.0188581578224807,0.0173486848236052,0.277195513953494
"R2_0.95_Logistic_5","gov","demNot Democracy",-0.164154884845109,0.0312481286842392,1.68412267739426e-07
"R2_0.95_Logistic_5","gov","direction_scitech_Average",0.0475255104581528,0.0403717536766049,0.239754692661181
"R2_0.95_Logistic_5","gov","easier_scitech_Average",0.0699709933710033,0.0424258508486326,0.099811000570893
"R2_0.95_Logistic_5","gov","FirstCommercialYr",NA,NA,NA
"R2_0.95_Logistic_5","gov","log_Average.lifetime",NA,NA,NA
"R2_0.95_Logistic_5","gov","Log_GDPavg",0.0448489851485419,0.0139538635340697,0.00133258292149276
"R2_0.95_Logistic_5","gov","log_Granularity.Numerical",NA,NA,NA
"R2_0.95_Logistic_5","gov","log_Material.Use.Numerical",NA,NA,NA
"R2_0.95_Logistic_5","gov","rdspending_Average",-0.0656515633150807,0.0249812461495064,0.00873605420807752
"R2_0.95_Logistic_5","dunn_test",NA,NA,NA,NA
"R2_0.99_Logistic_1","num_tech","(Intercept)",0.427017302375162,0.0227970218584555,3.39310003915547e-59
"R2_0.99_Logistic_1","num_tech","(Intercept)",0.147322782401249,0.0163131012845027,3.73887806772287e-18
"R2_0.99_Logistic_1","num_tech","(Intercept)",0.440218461301139,0.0305713264562936,4.24530411360531e-39
"R2_0.99_Logistic_1","num_tech","(Intercept)",-5.59875934280967,0.255023321695586,1.78044401244354e-78
"R2_0.99_Logistic_1","num_tech","Capacity_Average",NA,NA,NA
"R2_0.99_Logistic_1","num_tech","demNot Democracy",NA,NA,NA
"R2_0.99_Logistic_1","num_tech","direction_scitech_Average",NA,NA,NA
