,Variable,Technology Name,Country Code,Country Name,Metric,Exponential Fit,exponential goodness,Logistic Fit,Logistic Saturation,Logistic Inflection Year,logistic goodness,Gompertz Fit,gompertz goodness,Delta T,Vintage,Number of Points
33,Beer_Annual Production_FR,Beer Production,FRA,France,Annual Production,err,,0.028141062346980633,20340.11695348539,1893.9879949530832,0.6459045428083476,0.01743939434176712,0.6409978348004932,156.15789839376612,1835,158
34,Railroad_Total Length_CA,Railroad,CAN,Canada,Total Length,0.04908074408703197,-3.4812590946536137e+55,0.09095311428843864,69227.9102591823,1901.180781985418,0.9832482919709276,0.06133383034332052,0.9750547596413663,48.31554355287241,1836,158
35,Radio_Total Number_DK,Radio,DNK,Denmark,Total Number,0.03609624779754278,-9.500562686216132e+34,0.06857210497310294,7286.101744964362,1976.1167167344902,0.9939951087042167,0.02941166753246799,0.990931937169156,64.08508469145201,1938,56
36,Radio_Total Number_US,Radio,USA,United States,Total Number,0.043654586185815095,-4.1600326615124895e+48,0.09586094651985139,609534.8453658095,1968.8279706206342,0.9962960395261397,0.05166469953263636,0.9921367512020329,45.8419128353006,1938,56
37,Railroad_Total Length_UY,Railroad,URY,Uruguay,Total Length,0.03852537869415097,-2.6411452733730482e+36,0.10261177626176687,2978.1475114908058,1896.394608580703,0.9856762279837445,0.07045226063792721,0.9884123719758735,42.82597295131134,1869,131
38,Radio_Total Number_TR,Radio,TUR,Turkey,Total Number,0.0910762668678925,-6.590147969272056e+128,0.07693214003988229,18594.045354024845,1991.7355866166456,0.9929605858949141,0.02289365995017323,0.9941507218452812,57.121108972067056,1938,56
39,Radio_Total Number_HT,Radio,HTI,Haiti,Total Number,0.08785150841639575,-4.9642008242720005e+126,0.07811718908681646,2131.5627591064967,2015.3846080601659,0.9777222766009663,0.0035395089481389465,0.9771954068033988,56.254573494555935,1938,56
40,Radio_Total Number_PY,Radio,PRY,Paraguay,Total Number,0.07684036199696641,-4.2628151158270495e+105,0.07573933016849133,2884.448684731434,2006.3282732747944,0.9505905123471423,0.002617719215295529,0.948428767644957,58.02070265074241,1938,56
41,Radio_Total Number_LU,Radio,LUX,Luxembourg,Total Number,0.035419915179689274,-1.2028629889002935e+32,0.06270931471680492,341.15957448281915,1974.3470290763303,0.992545942377349,0.029703931396088804,0.9935988993550702,70.07649779809839,1938,56
42,Railroad_Total Length_BR,Railroad,BRA,Brazil,Total Length,0.052987856750484646,-3.1134401470963087e+63,0.09699375691495458,33202.82408322665,1901.539064081833,0.9712441559745442,0.06718958711536162,0.9651499191159797,45.30651553713452,1854,146
43,Radio_Total Number_TH,Radio,THA,Thailand,Total Number,0.10565799469590001,-3.9649280880645567e+158,0.08440175435718827,27986.394108087236,1996.454714366036,0.9687640928457846,0.02561565896773872,0.9737817804669879,52.065850859866345,1938,56
44,Railroad_Total Length_EC,Railroad,ECU,Ecuador,Total Length,0.025603137000864994,-580971702952543.4,0.12112553859144336,1044.168718230429,1912.6716481651615,0.9620715533804792,0.0904696551992644,0.958088582064789,36.280120656428394,1876,124
45,Radio_Total Number_IR,Radio,IRN,Iran,Total Number,0.11133149967889727,-2.0510540860053168e+167,0.10966492958884994,23098.069651305137,1987.6596936491014,0.9965564248934109,0.038472574754285865,0.9962347669159446,40.071599654947846,1938,56
46,Gold_Annual Production_AU,Gold,AUS,Australia,Annual Production,0.021410521215749562,-5948899.261584983,0.47226243186865,285.7985122830803,1988.0613382807985,0.5308547204511511,0.33241051930772303,0.5288432730180379,9.305099999770178,1851,154
47,Radio_Total Number_AR,Radio,ARG,Argentina,Total Number,0.05135352523954116,-2.3729418021034034e+61,0.06416236745655529,59936.65741316552,2001.8283378713243,0.9336288627233007,0.010536376784291389,0.9319948998889293,68.4895107345898,1938,56
48,Telegraph Traffic_Total Number_BE,Telegraph Traffic,BEL,Belgium,Cumulative Calculation,0.06120037358859054,-2.814335779127512e+78,0.05761595900357668,979.0596720218167,1919.2986405324973,0.9937868197535606,0.03392355899747373,0.9981541511055232,76.27138783543707,1853,140
49,Railroad_Total Length_AT,Railroad,AUT,Austria,Total Length,0.039509392103169824,-8.451260831333971e+40,0.2448451704313161,10428.205435167782,1866.2081919856637,0.3668092305764642,0.20238911787143296,0.3606543709926523,17.947869451258665,1837,141
50,Railroad_Total Length_PY,Railroad,PRY,Paraguay,Total Length,0.024999909811690747,-449844388317109.44,0.07962880819762955,465.1070788443093,1897.360627183827,0.9443419515156952,0.05462018758050441,0.9231628193642568,55.18667495017534,1861,137
51,Railroad_Total Length_MX,Railroad,MEX,Mexico,Total Length,0.05118151168137877,-9.63732821264312e+59,0.10245220465428644,24435.576051227414,1897.7982519255852,0.9857560721681757,0.06422914755350322,0.9908813389222864,42.892675365074076,1850,133
52,Radio_Total Number_CN,Radio,CHN,China,Total Number,0.12382858104127441,-3.787403714452452e+189,0.1646167833806367,551670.7778576945,1988.9944446037737,0.9629378046927238,0.047377306369414514,0.9539075813024861,26.695025041956583,1946,54
53,Radio_Total Number_ES,Radio,ESP,Spain,Total Number,0.0663994034207857,-9.652787895149555e+89,0.12012768246096474,13161.172194676768,1970.0105235808958,0.9923356233524726,0.06897629867651774,0.9948169953623665,36.58148617077006,1946,54
54,Postal Traffic_Total Number_BR,Postal Traffic,BRA,Brazil,Cumulative Calculation,0.08564182713326472,-1.6938460900871664e+122,0.0811447704554566,146598.31414586268,1967.0892495668554,0.9906027127379972,0.04045515532511879,0.9932242964148386,54.15566684096687,1840,159
55,Radio_Total Number_NL,Radio,NLD,Netherlands,Total Number,0.029702197655815367,-5.946252190628737e+22,0.039209674255336585,33749.90822843698,2001.3232918422211,0.989411144657809,0.010325541627409321,0.9890693841616716,112.07563536629836,1946,54
56,Railroad_Total Length_CO,Railroad,COL,Colombia,Total Length,0.034486814848111384,-1.380149328958016e+28,-6.516144688961978,1943.7698412698408,2007.5383387794388,-2.220446049250313e-16,-0.4818320582197559,-3.9968028886505635e-15,-0.6743940419426867,1871,126
57,Railroad_Total Length_RO,Railroad,ROU,Romania,Total Length,0.030392155853430924,-4.262927260109647e+24,0.09413407216756209,11322.218025524438,1916.667031094247,0.9425086167671206,0.05452933097685303,0.9252763650894381,46.682875323295896,1870,112
58,Postal Traffic_Total Number_GB,Postal Traffic,GBR,United Kingdom,Cumulative Calculation,0.06002218531051433,-9.734950894678945e+76,0.03553186231359427,1234591.8270949663,1974.067735052534,0.9984769729285778,0.010247375812901376,0.9996091842326905,123.67629694971406,1839,155
59,Radio_Total Number_CO,Radio,COL,Colombia,Total Number,0.07026037335715926,-3.063554030369834e+95,0.11063207656447344,1418266078.186016,2098.247447447782,0.9238265439974285,err,0.9996091842326905,39.72129323733222,1938,56
60,Telegraph Traffic_Total Number_ES,Telegraph Traffic,ESP,Spain,Cumulative Calculation,0.09523456459001804,-1.5216702945028875e+137,0.04746128199623334,1873.0113205131095,1960.5383001301152,0.9984401847724554,0.01776561125738046,0.997699305998384,92.59019077953256,1855,139
61,Railroad_Total Length_BG,Railroad,BGR,Bulgaria,Total Length,0.022636868369032,-183317.5115188985,0.05636335402837563,4407.679855771068,1918.633890571823,0.988253316234064,0.03455325189803565,0.9887732200208117,77.96642393673189,1870,111
62,Radio_Total Number_CL,Radio,CHL,Chile,Total Number,0.04506746306398249,-7.493189340189231e+51,0.081240477340237,7511.171424801686,1986.2388710241155,0.9795508557897649,0.023954722057865675,0.9739840259705815,54.09186773076658,1946,54
63,Sugar Output_Annual Production_ZA,Cane Sugar,ZAF,South Africa,Annual Production,0.04886578455976332,-1.9593731135436576e+58,0.08595359839367647,2278.304603036482,1959.917772431531,0.9423873917409263,0.048562772928763355,0.9326238204400402,51.125831108843194,1859,150
64,Zinc_Annual Production_US,Zinc,USA,United States of America,Annual Production,0.04245040389313154,-1.1979596935055622e+45,0.14007246979748045,718.2321393432807,1911.214468918307,0.5958468444144902,0.11283806311215681,0.5930315866326676,31.372682733630818,1860,144
65,Beer_Annual Production_AT,Beer Production,AUT,Austria,Annual Production,0.010143999936584628,0.03459059607121573,-5.512311668197185,12417.253334370089,1916.58000402665,-0.3530445977957357,-0.01332315958614954,0.03626982818162083,-0.797206221126037,1841,149
66,Railroad_Total Length_GY,Railroad,GUY,Guyana,Total Length,err,,0.3081635709652984,134.66235036292684,1895.0656448035616,0.7591810247358606,0.410106144246454,0.7487915246316925,14.260118874230232,1848,127
67,Crude Petroleum_Annual Production_US,Crude Oil,USA,USA,Annual Production,0.05549819980484531,-8.389267845249739e+67,0.10918816164407145,380624.0948503237,1938.468758490416,0.9220520948857579,0.07669428762956582,0.9118175737687289,40.246571501014394,1860,149
68,Radio_Total Number_JP,Radio,JPN,Japan,Total Number,0.05529439205537656,-4.617470490439458e+67,0.10298429788728525,133187.5368398501,1975.973190122916,0.9899834491845552,0.05446671798321546,0.9908367242093956,42.67106000452707,1938,50
69,Gold_Annual Production_NZ,Gold,NZL,New Zealand,Annual Production,0.02171324594540357,-203076.55167691072,-0.02197508027247595,15.381596270920301,1911.229724078992,0.27290585111329724,-0.0031708072802091635,0.26576727920351084,-199.9742026051454,1857,148
70,Radio_Total Number_BR,Radio,BRA,Brazil,Total Number,0.08763954494270478,-2.1149452795142106e+125,0.21029632852452115,77071.92982095371,1985.7314053603457,0.9739933703372473,0.11464118697275653,0.9660816163284893,20.896461604939688,1938,56
71,Telegraph Traffic_Total Number_GR,Telegraph Traffic,GRC,Greece,Cumulative Calculation,0.07907634031667549,-5.766930647695575e+110,0.049391726015521685,483.93525349725803,1959.521535098129,0.9949708404263566,0.020140208385752815,0.9959512030862168,88.97136239562582,1859,135
72,Radio_Total Number_MX,Radio,MEX,Mexico,Total Number,0.0756100598812856,-5.3183056994457553e+104,0.11598365063180903,27968.317811085042,1972.7254372964078,0.9540033008120757,0.06270266961435313,0.9633646299813431,37.888522483420104,1946,54
73,Telegraph Traffic_Total Number_AT,Telegraph Traffic,AUT,Austria,Cumulative Calculation,0.0635516284099461,-1.800207993375067e+82,0.08026152384790523,765.5861625526368,1906.0050378731505,0.9879020058362761,0.049037162860159605,0.9913949938040797,54.751628725612974,1851,143
74,Steamships_Total Number_DK,Steamships,DNK,Denmark,Total Number,-9.611964152444643e-07,6.545584361083989e-06,0.19615225432402356,336.98261706570116,1875.6510282725685,0.259886443172764,37.937281384401416,1.1102230246251565e-16,22.403255929005315,1844,146
75,Postal Traffic_Total Number_AT,Postal Traffic,AUT,Austria,Cumulative Calculation,0.05603704729742164,-8.534191603080799e+68,0.031157552942923133,128439.0320198712,1957.9046120858795,0.964597107513892,0.013404817785915613,0.9740393883295436,141.03961125325014,1830,164
76,Railroad_Total Length_JP,Railroad,JPN,Japan,Total Length,0.05456251247942677,-2.7049784308436087e+66,0.09391408469057604,20024.799360463676,1916.5967509539335,0.9927169265926161,0.059488130282698365,0.9867334281035547,46.79222684383365,1872,126
77,Radio_Total Number_PE,Radio,PER,Peru,Total Number,0.038595093957465874,-2.828878475927208e+40,0.05321797478077977,44105.01329691523,2029.188190426642,0.9696680791559282,err,0.9867334281035547,82.5745281133761,1946,54
78,Telegraph Traffic_Total Number_CH,Telegraph Traffic,CHE,Switzerland,Cumulative Calculation,0.08874181289486224,-7.306811617030905e+126,0.044862325782519204,475.09053275679594,1936.9885518766528,0.9923625115927117,0.02158746197097398,0.9974256918542136,97.95410911096265,1852,135
79,Postal Traffic_Total Number_CH,Postal Traffic,CHE,Switzerland,Cumulative Calculation,0.06380324029842657,-2.7684899645767554e+82,0.0344268987930303,792392.4200539223,2042.2208458609327,0.9989713279837329,0.0025059499937513607,0.9992375472071146,127.64580339028656,1850,144
80,Railroad_Total Length_IE,Railroad,IRL,Ireland,Total Length,0.032007377854785586,-5.41121291067442e+26,-0.08514844130757308,4191.053300618451,1984.651042062534,0.21119484353348084,0.11114846022548323,0.3971125389384337,-51.60927302002882,1840,138
81,Postal Traffic_Total Number_SE,Postal Traffic,SWE,Sweden,Cumulative Calculation,0.07088724020382813,-3.5480261308078416e+92,0.04391456438914137,393529.21009749506,2014.2891723111268,0.9994603563555289,0.004990465023901752,0.9998005085982735,100.0681485926123,1850,144
82,Radio_Total Number_AT,Radio,AUT,Austria,Total Number,err,,0.01850562132214894,450551671.16893077,2608.3118670319,0.9353739934426624,err,0.9998005085982735,237.4656369636629,1955,45
83,Radio_Total Number_BO,Radio,BOL,Bolivia,Total Number,0.07295321764045569,-1.0617963151766056e+97,0.18706366596238683,5397.96602468893,1981.1341403892966,0.9932893411874584,0.10947097141948656,0.9928143226112262,23.49173011265607,1946,54
84,Crude Petroleum_Annual Production_CA,Crude Oil,CAN,Canada,Annual Production,0.06098206229899647,-1.293626251108296e+80,0.08074012415282554,114433.92395169525,1974.2530652445596,0.9495987782663561,0.043554453085673885,0.9590754809305513,54.427079482248395,1867,142
85,Postal Traffic_Total Number_IN,Postal Traffic,IND,India,Cumulative Calculation,0.06876544712888519,-6.749777173276126e+90,0.04270692471061092,1619581.9762485928,2021.0953952575758,0.9978226554558288,0.0033023384088336242,0.9974041004990571,102.89781304671182,1853,148
86,Postal Traffic_Total Number_AU,Postal Traffic,AUS,Australia,Cumulative Calculation,0.07246311322873476,-1.0976993247672394e+96,0.03815384612687143,369229.2443340811,1999.4023218217797,0.99824178484744,0.0071113113834513145,0.9992228713724932,115.17709486115126,1851,143
87,Radio_Total Number_LR,Radio,LBR,Liberia,Total Number,0.12964323262449598,-2.4665449666693576e+200,0.08350323002334006,1453.5257506910903,1994.65209105357,0.9853659552128672,0.02375518772100403,0.9884162164610758,52.62609785806061,1946,54
88,Telegraph Traffic_Total Number_BR,Telegraph Traffic,BRA,Brazil,Cumulative Calculation,0.07908374430132471,-5.5966797509153005e+110,0.06894526955956813,1526.3354235898748,1962.16015660047,0.9982578590753527,0.030456923774523668,0.9979931106468902,63.73822573680232,1872,122
89,Radio_Total Number_BE,Radio,BEL,Belgium,Total Number,0.034468544403503144,-9.395432978807503e+31,0.07934309008816197,8837.877827290951,1965.0307151415323,0.9942434107463436,0.04399893554096445,0.9889084529633966,55.38540469988694,1937,57
90,Railroad_Total Length_AR,Railroad,ARG,Argentina,Total Length,0.06093503591630079,-1.1766522470912772e+78,0.11154785251184801,39530.19603027048,1903.855902566193,0.9757938598319883,0.07655702482157116,0.9697086973953492,39.39519278693137,1857,129
91,Beer_Annual Production_HU,Beer Production,HUN,Hungary,Annual Production,0.018954238248936953,0.7967629359952862,0.13809902469003993,8044.601578873312,1963.3052620641956,0.8763116508500227,0.09917836451341223,0.8731130804739069,31.821000651783592,1860,141
92,Radio_Total Number_UY,Radio,URY,Uruguay,Total Number,0.038640431539915386,-8.934878047860288e+37,0.10269917557951477,2024.143676934377,1965.0800027759476,0.9844555315904178,0.06233056400949961,0.9832617767246699,42.78952708115986,1946,54
93,Radio_Total Number_VE,Radio,VEN,Venezuela,Total Number,0.07217452321433478,-1.0974373808583997e+97,0.11340804512352218,14895.677647487033,1988.1205630239203,0.9835426689088205,0.03032019837629748,0.9772488212848123,38.749007179218,1938,56
94,Radio_Total Number_GR,Radio,GRC,Greece,Total Number,0.08842012366147334,-1.4550150450351e+128,0.1533546917368181,4847.925337873808,1973.8664827847933,0.9794131627258671,0.08016058097703468,0.9732559266456632,28.655459477001443,1938,56
95,Beer_Annual Production_DE,Beer Production,DEU,Germany,Annual Production,0.002761423223233912,0.7985726262827302,2.321341127758186,105662.58617557635,1980.9511017324246,-0.5717411059920772,2.4401818149346717,-0.5717411059949211,1.8930647900579516,1819,140
96,Railroad_Total Length_TW,Railroad,TWN,Taiwan,Total Length,0.0241327160449857,-51214856477464.38,0.18553553111774673,998.5769926682785,1914.8217934616323,0.965876018525358,0.12865173775707434,0.9691661054824693,23.68521613190943,1897,95
97,Radio_Total Number_GB,Radio,GBR,United Kingdom,Total Number,0.03510517848294312,-4.225191411207987e+33,0.05566338161516263,150958.21492788027,1991.8594935070005,0.9799656286630736,0.01963926663842395,0.9794770264303285,78.94685926654871,1960,40
98,Railroad_Total Length_IN,Railroad,IND,India,Total Length,0.055292377051296804,-2.605371158369631e+65,0.09962800260902452,61816.184539580165,1893.012491067648,0.9775949605471314,0.06834774894748229,0.9683988118953091,44.10857429228818,1853,138
99,Sugar Output_Annual Production_TT,Cane Sugar,TTO,Trinidad & Tobago,Annual Production,err,,0.04721336915233349,144.34639950976407,1908.4570608225706,0.3989409726080818,0.030076938644568355,0.3723131781952491,93.07637293356021,1870,138
100,Radio_Total Number_EC,Radio,ECU,Ecuador,Total Number,0.11514261541827457,-2.1524825183922878e+174,0.22200168242288093,4336.905387389517,1984.3045903931666,0.9936917053323047,0.12742061437540056,0.9929362090214287,19.794665998529023,1946,54
101,Telegraph Traffic_Total Number_SE,Telegraph Traffic,SWE,Sweden,Cumulative Calculation,0.06623831595178407,-9.478209476538162e+83,0.0565934039606541,506.99530622612383,1940.2534734661324,0.9981399621170481,0.02894196727138883,0.99686824131692,77.64949352980479,1855,137
102,Railroad_Total Length_GH,Railroad,GHA,Ghana,Total Length,0.02753516136526683,-1.245937580844331e+17,0.10258693674129264,927.3211497860349,1917.050159846866,0.9716853669256261,0.07207833324169459,0.9692903449718193,42.836342464874605,1901,98
103,Railroad_Total Length_KE,Railroad,KEN,Kenya,Total Length,0.02836456006145419,-9.966671428391903e+19,0.0574111583001255,2711.136883256939,1921.506717994629,0.9388441821872814,0.03860930255350685,0.9395475318677339,76.54346793875492,1898,101
104,Telegraph Traffic_Total Number_NO,Telegraph Traffic,NOR,Norway,Cumulative Calculation,0.07112144303149841,-1.0286734975232526e+95,0.058100711113599206,421.1295573152525,1939.250136923942,0.9981421595740207,0.03029284685740905,0.9964363725081141,75.63503217852806,1855,138
105,Railroad_Total Length_MZ,Railroad,MOZ,Mozambique,Total Length,0.04154859818099594,-9.51704326000154e+42,0.08576344763782315,3260.482288528647,1931.4723101760824,0.9458655848445194,0.054225047670823506,0.9376732506455817,51.239184940769704,1889,109
106,Postal Traffic_Total Number_ES,Postal Traffic,ESP,Spain,Cumulative Calculation,0.06341258459186391,-1.5346355155349513e+83,0.04061056849361408,10958270.050215144,2090.501863404148,0.9967485286517829,err,0.9376732506455817,108.20949614048018,1846,145
107,Railroad_Total Length_ID,Railroad,IDN,Indonesia,Total Length,0.04967387557195587,-3.964570516052973e+57,0.13553052853658926,6835.52999071742,1899.7326476597977,0.9877406595217988,0.09589732654729884,0.981940389778883,32.42405384323479,1867,121
108,Postal Traffic_Total Number_NZ,Postal Traffic,NZL,New Zealand,Cumulative Calculation,0.09230771455646414,-5.053772891761112e+133,0.04118990814857273,66361.63352485042,1988.0864289635224,0.9955497878022487,0.009967815193583454,0.9973897718770093,106.68752012802707,1853,140
109,Postal Traffic_Total Number_HU,Postal Traffic,HUN,Hungary,Cumulative Calculation,0.07113832605047371,-7.070183967732877e+96,0.029362155970795112,319519.9483010123,2014.382214551531,0.9877234491983603,0.005503670154885084,0.989717906940385,149.66370858609125,1849,145
110,Postal Traffic_Total Number_BE,Postal Traffic,BEL,Belgium,Cumulative Calculation,0.06216866403845936,-6.570244551972306e+78,0.03751134445603407,319430.07728503575,1990.745435279923,0.9987028566767762,0.00758843548854795,0.9989511300897899,117.14987074971526,1850,143
111,Telegraph Traffic_Total Number_NZ,Telegraph Traffic,NZL,New Zealand,Cumulative Calculation,0.08636590540140926,-1.619255485205021e+123,0.05661379534432277,567.53395255696,1951.6184284992562,0.9983477143776464,0.02384140867494278,0.9989465072016128,77.62152542406987,1866,119
112,Railroad_Total Length_EG,Railroad,EGY,Egypt,Total Length,0.018780838699518652,0.8189432143717655,0.011273380721746676,252168885.29224104,2927.4267223582706,0.8138009887230523,err,0.9989465072016128,389.807570873165,1869,128
